GHG Intensity (kg CO2e/sq ft)_sqrt,GHG Intensity (kg CO2e/sq ft),Reporting Status,Reporting Status_Submitted Data,Weather Normalized Source EUI (kBtu/sq ft)_sqrt,Weather Normalized Source EUI (kBtu/sq ft)_log,Source EUI (kBtu/sq ft)_log,Source EUI (kBtu/sq ft)_sqrt,Source EUI (kBtu/sq ft),Chicago Energy Rating
2.4698179,6.1,Submitted Data,True,10.881176,4.7824793,4.7113304,10.497619,110.2,4.0
2.5690465,6.6,Submitted Data,True,10.714477,4.7518644,4.7808027,10.871983,118.2,4.0
2.04939,4.2,Submitted Data,True,8.899438,4.3845234,4.3605475,8.792042,77.3,4.0
2.8495615,8.12,Submitted Data,True,12.576168,5.06991,5.037342,12.371742,153.06,0.0
3.0,9.0,Submitted Data,True,13.168143,5.1613517,5.1304903,12.965339,168.1,4.0
2.588436,6.7,Submitted Data,True,11.497826,4.891852,4.8481164,11.247222,126.5,4.0
2.7018511,7.3,Exempt,False,12.059022,4.9864793,4.939354,11.776247,138.68,2.0
2.258318,5.1,Submitted Data,True,9.762172,4.567468,4.5517693,9.68504,93.8,4.0
2.50998,6.3,Submitted Data,True,10.853571,4.7774415,4.7570324,10.742439,115.4,4.0
2.9832869,8.9,Submitted Data,True,13.535139,5.216022,5.1527133,13.111064,171.9,1.0
2.3323808,5.44,Not Submitted,False,10.29563,4.6728287,4.635117,10.101485,102.04,0.0
2.6645825,7.1,Submitted Data,True,11.631853,4.9148583,4.8926024,11.502173,132.3,2.5
2.04939,4.2,Submitted Data,True,9.093954,4.427239,4.3630986,8.803409,77.5,4.0
2.75318,7.58,Not Submitted,False,11.965785,4.9710627,4.9484763,11.830469,139.96,0.0
2.258318,5.1,Submitted Data,True,9.899495,4.59512,4.5570297,9.710818,94.3,4.0
2.9832869,8.9,Submitted Data,True,13.011534,5.137562,5.08883,12.696456,161.2,1.0
2.9154758,8.5,Submitted Data,True,12.946042,5.127529,5.0912933,12.712199,161.6,1.5
2.366432,5.6,Submitted Data,True,10.469002,4.70592,4.668145,10.271319,105.5,4.0
2.1908903,4.8,Submitted Data,True,9.664368,4.547541,4.516339,9.513149,90.5,4.0
2.4413111,5.96,Not Submitted,False,10.680824,4.7456274,4.720996,10.548934,111.28,0.0
3.0166206,9.1,Submitted Data,True,13.179529,5.16307,5.1410785,13.03457,169.9,1.0
2.3874674,5.7,Submitted Data,True,10.492855,4.7104306,4.68675,10.36822,107.5,4.0
2.529822,6.4,Submitted Data,True,11.441154,4.882044,4.8202815,11.090536,123.0,3.0
3.2093613,10.3,Submitted Data,True,13.903237,5.2694035,5.2694035,13.903237,193.3,4.0
2.588436,6.7,Submitted Data,True,11.734565,4.9323134,4.8574843,11.300443,127.7,2.0
2.433105,5.92,Exempt,False,10.486181,4.70917,4.688224,10.375934,107.66,3.7
3.04959,9.3,Submitted Data,True,13.258959,5.1750193,5.144,13.053735,170.4,2.0
2.48998,6.2,Submitted Data,True,11.175867,4.835488,4.7613187,10.765686,115.9,3.0
2.144761,4.6,Submitted Data,True,9.674709,4.5496573,4.4897594,9.38616,88.1,4.0
1.9493588,3.8,Submitted Data,True,8.700575,4.339902,4.2890887,8.479386,71.9,4.0
4.037326,16.3,Submitted Data,True,17.105555,5.682218,5.682218,17.105555,292.6,2.0
2.810694,7.9,Submitted Data,True,12.369317,5.0369525,5.003275,12.161414,147.9,2.5
3.7815342,14.3,Submitted Data,True,16.29417,5.5853744,5.580861,16.257305,264.3,2.0
3.6331804,13.2,Submitted Data,True,15.520953,5.4885244,5.481472,15.466092,239.2,1.0
2.5495098,6.5,Submitted Data,True,11.099549,4.821893,4.7966166,10.959015,120.1,4.0
2.720294,7.4,Submitted Data,True,11.89958,4.9600434,4.934474,11.74734,138.0,1.0
2.236068,5.0,Submitted Data,True,9.864077,4.588024,4.5570297,9.710818,94.3,4.0
2.607681,6.8,Submitted Data,True,11.392981,4.8736696,4.8194747,11.086027,122.9,4.0
2.9325757,8.6,Not Submitted,False,12.839782,5.111144,5.0838857,12.664912,160.4,0.0
2.0976176,4.4,Submitted Data,True,9.082951,4.4248466,4.4212475,9.0664215,82.2,4.0
2.738613,7.5,Submitted Data,True,11.96662,4.9712014,4.9402127,11.781342,138.8,3.0
2.2135944,4.9,Submitted Data,True,9.746795,4.564348,4.5336742,9.596874,92.1,4.0
2.32379,5.4,Submitted Data,True,10.363398,4.685828,4.641502,10.134101,102.7,3.5
6.549809,42.9,Submitted Data,True,29.060282,6.7399282,6.7399282,29.060282,844.5,1.0
2.48998,6.2,Submitted Data,True,11.153475,4.8315086,4.7957907,10.954452,120.0,4.0
2.32379,5.4,Submitted Data,True,10.373042,4.687671,4.6615505,10.237187,104.8,4.0
2.2135944,4.9,Submitted Data,True,9.690201,4.5528235,4.5293684,9.576012,91.7,4.0
2.0976176,4.4,Submitted Data,True,9.43928,4.5009203,4.4367514,9.137834,83.5,4.0
2.8809721,8.3,Submitted Data,True,12.680694,5.086361,5.05879,12.505999,156.4,1.0
2.280351,5.2,Submitted Data,True,9.8792715,4.591071,4.563306,9.741663,94.9,4.0
3.4785054,12.1,Submitted Data,True,14.882876,5.4049273,5.386786,14.747881,217.5,3.0
3.4205263,11.7,Submitted Data,True,14.55335,5.360353,5.353752,14.505172,210.4,0.0
2.5495098,6.5,Submitted Data,True,11.326959,4.8621354,4.822698,11.1040535,123.3,3.0
2.5690465,6.6,Submitted Data,True,11.406138,4.8759604,4.8243055,11.113055,123.5,3.0
2.7568097,7.6,Submitted Data,True,12.210651,5.0113015,4.9794884,12.016655,144.4,2.0
5.0,25.0,Submitted Data,True,21.201414,6.110358,6.110358,21.201414,449.5,1.0
2.32379,5.4,Submitted Data,True,10.129166,4.6405373,4.6180863,10.014989,100.3,4.0
4.2190046,17.8,Submitted Data,True,18.281137,5.8147273,5.770506,17.880157,319.7,1.0
2.144761,4.6,Submitted Data,True,9.705668,4.5559797,4.5009203,9.43928,89.1,4.0
3.2710855,10.7,Submitted Data,True,14.180973,5.3087626,5.269918,13.906833,193.4,2.0
2.86007,8.18,Submitted Data,True,12.335315,5.031483,5.002603,12.157302,147.8,1.2
3.3015149,10.9,Submitted Data,True,13.992855,5.282188,5.2857385,14.017846,196.5,2.0
3.1622777,10.0,Submitted Data,True,13.773162,5.2507014,5.2116694,13.505554,182.4,3.5
2.7495453,7.56,Exempt,False,11.914697,4.962565,4.9439254,11.80339,139.32,0.2
4.0,16.0,Submitted Data,True,17.731329,5.753842,5.7057805,17.308958,299.6,0.0
1.9235384,3.7,Submitted Data,True,8.608135,4.3188205,4.27944,8.438009,71.2,4.0
2.738613,7.5,Submitted Data,True,12.0415945,4.983607,4.951593,11.8490505,140.4,2.5
1.8973666,3.6,Submitted Data,True,8.185352,4.2195077,4.206184,8.130191,66.1,4.0
2.4289916,5.9,Submitted Data,True,10.639549,4.7379513,4.713127,10.50714,110.4,4.0
1.9493588,3.8,Submitted Data,True,8.803409,4.3630986,4.306764,8.5557,73.2,4.0
2.32379,5.4,Submitted Data,True,10.034939,4.6220274,4.5819016,9.833616,96.7,4.0
2.0976176,4.4,Submitted Data,True,9.396808,4.4920015,4.447346,9.186947,84.4,4.0
2.8178005,7.94,Not Submitted,False,12.445883,5.049215,5.0144944,12.23029,149.58,0.0
2.5690465,6.6,Submitted Data,True,11.318127,4.860587,4.830711,11.148991,124.3,3.0
4.09878,16.8,Submitted Data,True,17.421251,5.7186713,5.7147226,17.386776,302.3,4.0
2.258318,5.1,Submitted Data,True,10.059821,4.6269317,4.5612183,9.731393,94.7,4.0
2.345208,5.5,Submitted Data,True,10.129166,4.6405373,4.612146,9.984989,99.7,4.0
2.810694,7.9,Submitted Data,True,12.087183,4.9911127,4.9732795,11.979149,143.5,3.0
2.5495098,6.5,Submitted Data,True,11.296017,4.8567066,4.825911,11.12205,123.7,3.5
2.8460498,8.1,Submitted Data,True,12.36123,5.035653,5.0205855,12.267844,150.5,1.0
2.4698179,6.1,Submitted Data,True,11.0770035,4.817859,4.7816415,10.87658,118.3,3.5
2.4289916,5.9,Not Submitted,False,10.7619705,4.7606344,4.7229533,10.559356,111.5,0.0
3.4467375,11.88,Submitted Data,True,15.04593,5.4266224,5.370917,14.63079,214.06,0.0
2.738613,7.5,Submitted Data,True,12.037441,4.9829216,4.961445,11.907981,141.8,3.5
2.607681,6.8,Submitted Data,True,11.6490345,4.9177885,4.8736696,11.392981,129.8,4.0
3.7682889,14.2,Submitted Data,True,16.565023,5.6182246,5.549854,16.006248,256.2,1.0
2.2135944,4.9,Submitted Data,True,9.899495,4.59512,4.5368915,9.612492,92.4,4.0
2.0248456,4.1,Submitted Data,True,8.843077,4.3719764,4.342506,8.712061,75.9,4.0
3.1144824,9.7,Submitted Data,True,13.542525,5.2171073,5.2018065,13.43875,180.6,2.0
2.4494898,6.0,Submitted Data,True,10.65833,4.741448,4.691348,10.392304,108.0,3.0
2.4289916,5.9,Submitted Data,True,10.68644,4.74667,4.7176056,10.530907,110.9,3.5
2.588436,6.7,Submitted Data,True,10.770329,4.762174,4.752728,10.719142,114.9,4.0
3.3316662,11.1,Submitted Data,True,14.536161,5.3580003,5.3166485,14.237275,202.7,1.0
2.3874674,5.7,Submitted Data,True,10.324728,4.6784205,4.6596584,10.227414,104.6,3.5
2.8982754,8.4,Submitted Data,True,13.0268955,5.139908,5.1167955,12.876335,165.8,3.0
2.6645825,7.1,Submitted Data,True,11.823705,4.9473405,4.9097095,11.601724,134.6,3.5
2.32379,5.4,Submitted Data,True,10.348913,4.683057,4.612146,9.984989,99.7,4.0
2.792848,7.8,Submitted Data,True,12.087183,4.9911127,4.9732795,11.979149,143.5,2.0
2.5690465,6.6,Submitted Data,True,11.26499,4.8512487,4.835488,11.175867,124.9,4.0
2.9495761,8.7,Submitted Data,True,13.10725,5.152135,5.0992565,12.763228,162.9,2.0
2.8809721,8.3,Submitted Data,True,12.561847,5.0676455,5.069533,12.573782,158.1,2.0
3.082207,9.5,Submitted Data,True,13.841965,5.2606153,5.214392,13.524053,182.9,1.5
1.9748417,3.9,Submitted Data,True,8.637129,4.325456,4.314818,8.5906925,73.8,4.0
1.9493588,3.8,Submitted Data,True,8.514693,4.2972856,4.2710953,8.402381,70.6,4.0
2.8460498,8.1,Submitted Data,True,12.461942,5.0517774,5.017942,12.251531,150.1,2.5
2.4494898,6.0,Submitted Data,True,10.770329,4.762174,4.7361984,10.630146,113.0,4.0
2.9832869,8.9,Submitted Data,True,13.011534,5.137562,5.1023026,12.782801,163.4,4.0
