Date,Open,Date_year,Date_month,Date_day,Date_dayofweek,Date_quarter
Unknown,57.08,0.0,0.0,0.0,0.0,0.0
Unknown,56.93,0.0,0.0,0.0,0.0,0.0
Unknown,57.88,0.0,0.0,0.0,0.0,0.0
Unknown,57.81,0.0,0.0,0.0,0.0,0.0
Unknown,57.57,0.0,0.0,0.0,0.0,0.0
2016-10-03 16:00:00,57.41,2016.0,10.0,3.0,0.0,4.0
2016-10-04 16:00:00,57.27,2016.0,10.0,4.0,1.0,4.0
2016-10-05 16:00:00,57.29,2016.0,10.0,5.0,2.0,4.0
2016-10-06 16:00:00,57.74,2016.0,10.0,6.0,3.0,4.0
2016-10-07 16:00:00,57.85,2016.0,10.0,7.0,4.0,4.0
2016-10-10 16:00:00,57.91,2016.0,10.0,10.0,0.0,4.0
2016-10-11 16:00:00,57.89,2016.0,10.0,11.0,1.0,4.0
2016-10-12 16:00:00,57.11,2016.0,10.0,12.0,2.0,4.0
Unknown,56.7,0.0,0.0,0.0,0.0,0.0
Unknown,57.12,0.0,0.0,0.0,0.0,0.0
Unknown,57.36,0.0,0.0,0.0,0.0,0.0
Unknown,57.53,0.0,0.0,0.0,0.0,0.0
Unknown,57.47,0.0,0.0,0.0,0.0,0.0
Unknown,57.5,0.0,0.0,0.0,0.0,0.0
Unknown,60.28,0.0,0.0,0.0,0.0,0.0
Unknown,59.94,0.0,0.0,0.0,0.0,0.0
Unknown,60.85,0.0,0.0,0.0,0.0,0.0
Unknown,60.81,0.0,0.0,0.0,0.0,0.0
Unknown,60.61,0.0,0.0,0.0,0.0,0.0
Unknown,60.01,0.0,0.0,0.0,0.0,0.0
Unknown,60.16,0.0,0.0,0.0,0.0,0.0
2016-11-01 16:00:00,59.97,2016.0,11.0,1.0,1.0,4.0
2016-11-02 16:00:00,59.82,2016.0,11.0,2.0,2.0,4.0
2016-11-03 16:00:00,59.53,2016.0,11.0,3.0,3.0,4.0
2016-11-04 16:00:00,58.65,2016.0,11.0,4.0,4.0,4.0
2016-11-07 16:00:00,59.78,2016.0,11.0,7.0,0.0,4.0
2016-11-08 16:00:00,60.55,2016.0,11.0,8.0,1.0,4.0
2016-11-09 16:00:00,60.0,2016.0,11.0,9.0,2.0,4.0
2016-11-10 16:00:00,60.48,2016.0,11.0,10.0,3.0,4.0
2016-11-11 16:00:00,58.23,2016.0,11.0,11.0,4.0,4.0
Unknown,59.02,0.0,0.0,0.0,0.0,0.0
Unknown,58.33,0.0,0.0,0.0,0.0,0.0
Unknown,58.94,0.0,0.0,0.0,0.0,0.0
Unknown,60.41,0.0,0.0,0.0,0.0,0.0
Unknown,60.78,0.0,0.0,0.0,0.0,0.0
Unknown,60.5,0.0,0.0,0.0,0.0,0.0
Unknown,60.98,0.0,0.0,0.0,0.0,0.0
Unknown,61.01,0.0,0.0,0.0,0.0,0.0
Unknown,60.3,0.0,0.0,0.0,0.0,0.0
Unknown,60.34,0.0,0.0,0.0,0.0,0.0
Unknown,60.65,0.0,0.0,0.0,0.0,0.0
Unknown,60.86,0.0,0.0,0.0,0.0,0.0
2016-12-01 16:00:00,60.11,2016.0,12.0,1.0,3.0,4.0
2016-12-02 16:00:00,59.08,2016.0,12.0,2.0,4.0,4.0
