Date,Open
2018-04-06 16:00:00,91.49
2018-04-09 16:00:00,91.04
2018-04-10 16:00:00,92.39
2018-04-11 16:00:00,92.01
2018-04-12 16:00:00,92.43
,94.05
,94.07
,95.0
,96.22
,96.44
,95.91
,95.74
,96.24
,93.3
,93.55
,97.6
,96.33
2018-05-01 16:00:00,93.21
2018-05-02 16:00:00,94.99
2018-05-03 16:00:00,92.96
2018-05-04 16:00:00,93.32
2018-05-07 16:00:00,95.17
2018-05-08 16:00:00,95.85
2018-05-09 16:00:00,96.01
2018-05-10 16:00:00,97.46
2018-05-11 16:00:00,97.8
,97.92
,97.24
,97.36
,96.76
,96.01
,97.0
,97.68
,96.71
,98.73
,98.3
,97.84
,98.31
,99.29
2018-06-01 16:00:00,99.28
2018-06-04 16:00:00,101.26
2018-06-05 16:00:00,102.0
2018-06-06 16:00:00,102.48
2018-06-07 16:00:00,102.65
2018-06-08 16:00:00,101.09
2018-06-11 16:00:00,101.37
2018-06-12 16:00:00,101.1
,101.72
,101.65
,101.51
,100.01
,99.65
,101.37
,102.08
,100.41
,100.0
,98.82
,99.58
,97.38
,98.93
2018-07-02 16:00:00,98.1
2018-07-03 13:00:00,100.48
2018-07-05 16:00:00,99.5
2018-07-06 16:00:00,99.89
2018-07-09 16:00:00,101.65
2018-07-10 16:00:00,102.0
2018-07-11 16:00:00,101.15
2018-07-12 16:00:00,102.77
,104.37
,105.4
,104.61
,105.94
,104.93
,108.08
,106.3
,108.57
,107.96
,110.74
,110.18
,107.19
,106.49
2018-08-01 16:00:00,106.03
2018-08-02 16:00:00,105.4
2018-08-03 16:00:00,107.8
2018-08-06 16:00:00,108.12
2018-08-07 16:00:00,108.56
2018-08-08 16:00:00,109.33
2018-08-09 16:00:00,109.71
2018-08-10 16:00:00,109.42
,109.24
,108.56
,108.49
,108.3
,107.36
,107.51
,106.92
,105.85
,107.15
,107.67
,109.27
,109.94
,110.45
,111.67
,111.69
2018-09-04 16:00:00,110.85
2018-09-05 16:00:00,111.01
2018-09-06 16:00:00,108.25
2018-09-07 16:00:00,108.23
2018-09-10 16:00:00,108.84
2018-09-11 16:00:00,108.9
2018-09-12 16:00:00,111.43
,112.12
,113.36
,113.69
